Work Title,Name Translations,Name Aliases,Authorities,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Year/Date of Composition,First Publication,Copyright Information,Dedication,Average Duration,Composer Time Period,Piece Style,url
Pilgerchor aus Tannhäuser,,,,"Liszt, Franz",S.443 ; LW.A210 ; S.676 (organ arr.),IFL 298,,1 piece,1861-85,"1864 - Leipzig: Siegel (S.443/1)
1885 - Berlin:
Fürstner
(S.443/2)",,,,Romantic,Romantic,"https://imslp.org/wiki/Pilgerchor_aus_Tannh%C3%A4user,_S.443_(Liszt,_Franz)"
Pio IX,,,,"Liszt, Franz",S.261 ; LW.E19a,IFL 299,,1 piece,1863–65,1865,,,,Romantic,Romantic,"https://imslp.org/wiki/Pio_IX,_S.261_(Liszt,_Franz)"
6 Polish Songs,,,,"Liszt, Franz",S.480 ; LW.A193,IFL 300,,"6 arrangements
Mädchens Wunsch
(Zyczenie)
Frühling
(Wiosna)
Das Ringlein
(Pierócie î)
Bacchanal
(Hulanka)
Meine Freuden
(Moja pieszczotka / Mes joies)
Die Heimkehr
(Narzeczony)",1857-60,1860,,Princess Marie zu Hohenlohe,,Romantic,Romantic,"https://imslp.org/wiki/6_Polish_Songs,_S.480_(Liszt,_Franz)"
"Polonaises de l'oratorio St. Stanislaus, S.519",,,,"Liszt, Franz",S.519,IFL 301,,,1875,,,,,Romantic,Romantic,"https://imslp.org/wiki/Polonaises_de_l%27oratorio_St._Stanislaus,_S.519_(Liszt,_Franz)"
2 Polonaises,,,,"Liszt, Franz",S.223 ; LW.A171,IFL 302,,"2 pieces
Polonaise mélancolique (C minor)
Polonaise (E major)",1850–51,1852,,,,Romantic,Romantic,"https://imslp.org/wiki/2_Polonaises,_S.223_(Liszt,_Franz)"
Präludium und Fuge über den Namen BACH,"Fantasie und Fuge über das Thema B-A-C-H
;
Fantasía y fuga sobre el motivo BACH
;
Fantasy and Fugue on the Theme B-A-C-H
;
B-A-C-H fantázia és fúga
;
バッハの名による幻想曲とフーガ
;
Фантазия и фуга на тему B-A-C-H","Fantaisie et Fugue sur B-A-C-H
;
Prelude and Fugue on B-A-C-H
;
Prelude and Fugue on B A C H
;
Praludium und Fuge über das Thema BACH
;
Prelude and Fugue on B A C-H
;
Fantasia y fuga sobre el motivo BACH
;
Prelude and Fugue on B A-C-H
;
Präludium und Fuge über das Thema BACH
;
Präludium und Fuge uber das Thema BACH
;
Praludium und Fuge uber das Thema BACH",Wikipedia,"Liszt, Franz","S.260/1 ; LW.E3/1 (1st version)
S.260/2 ; LW.E3/2 (2nd version)",IFL 303,,1 piece,"1855–56 (1st version)
1869–70 (2nd version)","1856–62 (1st version)
ca.1872–73 (2nd version)",,Alexander Winterberger,,Romantic,Romantic,"https://imslp.org/wiki/Pr%C3%A4ludium_und_Fuge_%C3%BCber_den_Namen_BACH,_S.260_(Liszt,_Franz)"
Prélude á la Polka d'Alexandre Porfiryevitch Borodine,,,,"Liszt, Franz",S.207a ; LW.A296,IFL 304,B-flat major,1 piece,1880-07-28,1883,,,30 seconds,Romantic,Romantic,"https://imslp.org/wiki/Pr%C3%A9lude_%C3%A0_la_Polka_d%27Alexandre_Porfiryevitch_Borodine,_S.207a_(Liszt,_Franz)"
Préludes et Harmonies poétiques et religieuses,,,,"Liszt, Franz",S.171d,IFL 457,,"8 pieces
[untitled] (first version of S.172a/11, later revised as S.173/3)
(Languer?)
[untitled]
Dernière illusion
[untitled]
Attente
Alternative
M.K.",1845,,,,,Romantic,Romantic,"https://imslp.org/wiki/Pr%C3%A9ludes_et_Harmonies_po%C3%A9tiques_et_religieuses,_S.171d_(Liszt,_Franz)"
Les préludes,"Preludia
;
Les Préludes
;
Los preludios
;
前奏曲
;
전주곡
;
Прелюды
;
Preludoj","Les Preludes (Liszt)
;
Les preludes
;
レ・プレリュード","WorldCat
;
Wikipedia
;
VIAF
:
174184579
;
LCCN
:
n82001194
;
GND
:
30009440X
;
BNE
:
XX2055968","Liszt, Franz",S.97 ; LW.G3,IFL 551,,,"1850–55
First Perf
ormance
.
1854-02-23 in Weimar",1856,,"Princess
Carolyne zu Sayn-Wittgenstein
(1819–87)",,Romantic,Romantic,"https://imslp.org/wiki/Les_pr%C3%A9ludes,_S.97_(Liszt,_Franz)"
Preludio — Allegro maestoso,,,,"Liszt, Franz",S.692c,IFL 508,F-sharp major,,"1837 after (S.692c/i)
1838 (S.692c/ii)",,,,1 minute,Romantic,Romantic,"https://imslp.org/wiki/Preludio_%E2%80%94_Allegro_maestoso,_S.692c_(Liszt,_Franz)"
Prière d'un enfant à son réveil,,,,"Liszt, Franz",S.171c,IFL 460,A major,1,1840,,,,3 minutes,Romantic,Romantic,"https://imslp.org/wiki/Pri%C3%A8re_d%27un_enfant_%C3%A0_son_r%C3%A9veil,_S.171c_(Liszt,_Franz)"
Pro Papa,,,,"Liszt, Franz",S.59 ; LW.J39,IFL 307,,2,1880,"1881
Librettist
Liturgical texts
Language
Latin",,Pope Leo XIII,,Romantic,Romantic,"https://imslp.org/wiki/Pro_Papa,_S.59_(Liszt,_Franz)"
Prometheus,"Prométheusz
;
Prometeo
;
Prométhée
;
プロメテウス
;
Прометей (Лист)",,"WorldCat
;
Wikipedia
;
VIAF
:
293030971
;
LCCN
:
n79019569
;
GND
:
300094418
;
BNF
:
13918510z
;
NLA
:
35949718","Liszt, Franz",S.99 ; LW.G6,IFL 308,,1 symphonic poem,"1855
First Perf
ormance
.
1855-10-18 in Brunswick",1856,,"Princess
Carolyne zu Sayn-Wittgenstein
(1819–87)",,Romantic,Romantic,"https://imslp.org/wiki/Prometheus,_S.99_(Liszt,_Franz)"
Psalm 13,,,,"Liszt, Franz","S.13/1; LW.I3a (1st version)
S.13/2; LW.I3b (2nd version)",IFL 309,,1,"1855–58 (1st version)
1859–63 (2nd version)
First Perf
ormance
.
1855-12-06 in Berlin (1st version)
1864-08-22 in Karlsruhe (2nd version)","1864 (2nd version)
Librettist
German version by
Martin Luther
after Psalm XIII
Language
German",,"Peter Cornelius
(2nd version)",24 minutes (2nd version?),Romantic,Romantic,"https://imslp.org/wiki/Psalm_13,_S.13_(Liszt,_Franz)"
Psalm 23,,,,"Liszt, Franz",S.15,IFL 310,E-flat major,2,1861,"1864 – Leipzig:
C.F. Kahnt
(S.15/1b))
Librettist
Psalm XXIII;
Johann Gottfried Herder
(1744-1803), German translation
Language
German",,,10 minutes,Romantic,Romantic,"https://imslp.org/wiki/Psalm_23,_S.15_(Liszt,_Franz)"
Psalm 129 (130),,,,"Liszt, Franz",S.16,"IFL 311
Librettist
Psalm CXXX
Language
Latin",,,,,,,,Romantic,Romantic,"https://imslp.org/wiki/Psalm_129,_S.16_(Liszt,_Franz)"
Psalm 137,,,,"Liszt, Franz",S.17,IFL 312,,1,,"1864 – Leipzig:
C.F. Kahnt
(S.17/2)
Librettist
Psalm CXXXVII as paraphrased by
Johann Gottfried Herder
Language
German",,,,Romantic,Romantic,"https://imslp.org/wiki/Psalm_137,_S.17_(Liszt,_Franz)"
Puszta Wehmut – A puszta keserve,,,,"Liszt, Franz",S.246,IFL 472,D minor,1 piece,ca.,1885,,,3 minutes,Romantic,Romantic,"https://imslp.org/wiki/Puszta_Wehmut_%E2%80%93_A_puszta_keserve,_S.246_(Liszt,_Franz)"
Qui Mariam absolvisti,,,,"Liszt, Franz",S.65 ; LW.J50,IFL 313,,1,1885,"1886
Librettist
Thomas of Celano
(ca.1190–ca.1260)
Language
Latin / German",,,,Romantic,Romantic,"https://imslp.org/wiki/Qui_Mariam_absolvisti,_S.65_(Liszt,_Franz)"
Qui seminant in lacrimis,,,,"Liszt, Franz",S.63 ; LW.J48,IFL 314,,,1884,"1936
Librettist
Psalm CXXV
Language
Latin",,,2-3 minutes,Romantic,Romantic,"https://imslp.org/wiki/Qui_seminant_in_lacrimis,_S.63_(Liszt,_Franz)"
R.W. - Venezia,,,,"Liszt, Franz",S.201 ; LW.A320,IFL 315,,1 piece,1883,1927,,"Richard Wagner
(1813–1883), in memoriam",,Romantic,Romantic,"https://imslp.org/wiki/R.W._-_Venezia,_S.201_(Liszt,_Franz)"
Rákóczi-Marsch,,,,"Liszt, Franz",S.117,IFL 316,,,1863-67,,,,,Romantic,Romantic,"https://imslp.org/wiki/R%C3%A1k%C3%B3czi-Marsch,_S.117_(Liszt,_Franz)"
"Rákóczi-Marsch, S.692d",,,,"Liszt, Franz",S.692d,IFL 482,A minor,1 piece,1839,,,,2 minutes,Romantic,Romantic,"https://imslp.org/wiki/R%C3%A1k%C3%B3czi-Marsch,_S.692d_(Liszt,_Franz)"
Recueillement,,,,"Liszt, Franz",S.204 ; LW.A280,IFL 317,,1,1877,1884,,"Vincenzo Bellini
(1801–1835), in memoriam",,Romantic,Romantic,"https://imslp.org/wiki/Recueillement,_S.204_(Liszt,_Franz)"
Réminiscences de Robert le diable,,,,"Liszt, Franz",S.413 ; LW.A78,IFL 318,,1 movement,1841,"1841 – Berlin:
Schlesinger",,Princess Ekaterina Dmitriyevna de Soutzo,,Romantic,Romantic,"https://imslp.org/wiki/R%C3%A9miniscences_de_%27Robert_le_diable%27,_S.413_(Liszt,_Franz)"
Réminiscences de Boccanegra,,,,"Liszt, Franz",S.438,IFL 542,E major,1 movement,1882,,,,10 minutes,Romantic,Romantic,"https://imslp.org/wiki/R%C3%A9miniscences_de_Boccanegra,_S.438_(Liszt,_Franz)"
Réminiscences de Don Juan,"「ドン・ジョヴァンニ」の回想
;
唐璜的回忆","Réminiscences de don juan
;
Reminiscences de Don Juan","WorldCat
;
Wikipedia
;
VIAF
:
183675273
;
LCCN
:
no92029273
;
BNF
:
139184053","Liszt, Franz",S.418 ; LW.A80,IFL 319,,1 movement,1841,"1843 – Berlin:
Schlesinger",,King Christian VIII of Denmark (1786-1848),,Romantic,Romantic,"https://imslp.org/wiki/R%C3%A9miniscences_de_Don_Juan,_S.418_(Liszt,_Franz)"
"Réminiscences de
La juive",,,,"Liszt, Franz",S.409a ; LW.A20,IFL 320,,1 piece,1835,1836,,Clemence Kautz,,Romantic,Romantic,"https://imslp.org/wiki/R%C3%A9miniscences_de_La_juive,_S.409a_(Liszt,_Franz)"
Réminiscences de 'Lucia di Lammermoor',,,,"Liszt, Franz",S.397 ; LW.A22 ; Op.13,IFL 321,,1 movement,1835–36,"1840 – Leipzig:
Friedrich Hofmeister",,Madame Vanotti,,Romantic,Romantic,"https://imslp.org/wiki/R%C3%A9miniscences_de_Lucia_di_Lammermoor,_S.397_(Liszt,_Franz)"
Réminiscences de Lucrezia Borgia,,,,"Liszt, Franz",S.400 ; LW.A71b,IFL 322,,"2 sections
Trio du seconde Acte
Chanson à boire (Orgie). Duo-finale
2nd version of
Fantaisie sur des motifs favoris de l'opéra Lucrezia Borgia
, S.399a",1848,"1849 – Vienna:
Mechetti",,,,Romantic,Romantic,"https://imslp.org/wiki/R%C3%A9miniscences_de_Lucrezia_Borgia,_S.400_(Liszt,_Franz)"
Réminiscences de Norma de Bellini,,,,"Liszt, Franz",S.394 ; LW.A77,IFL 323,,1 movement,1841,"1844 – Mainz:
Schott
; Paris:
Bernard Latte",,Marie Pleyel,,Romantic,Romantic,"https://imslp.org/wiki/R%C3%A9miniscences_de_Norma,_S.394_(Liszt,_Franz)"
Réminiscences des Huguenots,,,,"Liszt, Franz",S.412 ; LW.A35,IFL 324,,1 piece,"1836 (1st version)
1838 (2nd version)
1842 (3rd version)","1837 (1st version)
1838 (2nd version)
1842 (3rd version)",,,,Romantic,Romantic,"https://imslp.org/wiki/R%C3%A9miniscences_des_Huguenots,_S.412_(Liszt,_Franz)"
Réminiscences des Puritains de Bellini,,,,"Liszt, Franz",S.390 ; LW.A34 ; Op.7,IFL 325,,1 piece,"1836 (1st version), 1837? (2nd version)","1837 (1st version)
1880? (2nd version)",,Madame la Princesse Belgiojoso,,Romantic,Romantic,"https://imslp.org/wiki/R%C3%A9miniscences_des_Puritains_de_Bellini,_S.390_(Liszt,_Franz)"
Requiem für die Orgel,,,,"Liszt, Franz",S.266 ; LW.E39,IFL 326,,"7 movements:
Reqiuem aeternam
Dies irae
Ricordare pie Jesu!
Sanctus
Benedictus
Agnus Dei
Postludium","1883
First Perf
ormance
.
1887 June 17, Rome",1885,,,,Romantic,Romantic,"https://imslp.org/wiki/Requiem_f%C3%BCr_die_Orgel,_S.266_(Liszt,_Franz)"
Requiem,,,,"Liszt, Franz",S.12 ; LW.J22,IFL 327,,"6 sections
Requiem aeternam
Dies irae
Offertorium
Sanctus
Agnus Dei
Libera me",1867-71,"1869
Librettist
Liturgical texts
Language
Latin",,"In memory of Anna Liszt (1788–1866), Blandine Liszt (1835–1862), Daniel Liszt (1839–1859)",,Romantic,Romantic,"https://imslp.org/wiki/Requiem,_S.12_(Liszt,_Franz)"
Resignazione,,,,"Liszt, Franz",S.187a/b,IFL 328,,,1877/1881 (1st/2nd version),1978 ? (S.187a),,,1-2 minutes,Romantic,Romantic,"https://imslp.org/wiki/Resignazione,_S.187a/b_(Liszt,_Franz)"
Responsorien und Antiphonen,,,,"Liszt, Franz",S.30 ; LW.J20,IFL 329,,6,1860,"1936
Librettist
Liturgical text
Language
Latin",,,,Romantic,Romantic,"https://imslp.org/wiki/Responsorien_und_Antiphonen,_S.30_(Liszt,_Franz)"
Rhapsodie espagnole,,,,"Liszt, Franz",S.254 ; LW.A195,IFL 330,,1 rhapsody,1858,"1867 - Leipzig: C.F.W. Siegel, Plate 3224",,"Eugénie, Empress of France (1826–1920)",,Romantic,Romantic,"https://imslp.org/wiki/Rhapsodie_espagnole,_S.254_(Liszt,_Franz)"
Romance oubliée,,,,"Liszt, Franz",S.527,IFL 331,,,"1880 ca. (First draft), 1880 (Second version)",1881 - Simon,,,3-6 minutes,Romantic,Romantic,"https://imslp.org/wiki/Romance_oubli%C3%A9e,_S.527_(Liszt,_Franz)"
Romance,,,,"Liszt, Franz",S.169 ; LW.A148,IFL 332,,1 romance,1848,1908,,Mme Josephine Kościelska,,Romantic,Romantic,"https://imslp.org/wiki/Romance,_S.169_(Liszt,_Franz)"
Romancero espagnol,,,,"Liszt, Franz",S.695c,IFL 455,C major,3 sections,1845,2009,,Queen Isabella II of Spain,,Romantic,Romantic,"https://imslp.org/wiki/Romancero_espagnol,_S.695c_(Liszt,_Franz)"
La romanesca,,,,"Liszt, Franz","S.252a ; LW.A14/1 [1st version]
S.252b ; LW.A14/2 [2nd version]",IFL 333,,1 piece,"1839 (1st version)
?1852 (2nd version)","1840 (1st version)
1852 (2nd version)",,Herminie Seghers,,Romantic,Romantic,"https://imslp.org/wiki/La_romanesca,_S.252a/b_(Liszt,_Franz)"
Rondeau fantastique sur un thème espagnol,,,,"Liszt, Franz",S.252 ; LW.A33,IFL 334,,1 piece,1836,1837,,George Sand,,Romantic,Romantic,"https://imslp.org/wiki/Rondeau_fantastique_sur_un_th%C3%A8me_espagnol,_S.252_(Liszt,_Franz)"
Rondo di bravura,,,,"Liszt, Franz",S.152 ; LW.A7 ; Op.4 No.2,IFL 335,,1,1824–25,"Paris: Erard, 1825 (as No.2 of
Deux allegri di bravura
, Op.4, with
Allegro di bravura
, S.151)",,Count Thaddaeus Amadée de Varkony,,Romantic,Romantic,"https://imslp.org/wiki/Rondo_di_bravura,_S.152_(Liszt,_Franz)"
Rosario,,,,"Liszt, Franz",S.56 ; LW.J37,IFL 336,,"4
Mysteria gaudiosa
Mysteria dolorosa
Mysteria gloriosa
Pater noster",1879,"1936
Librettist
Liturgical texts
Language
Latin",,,,Romantic,Romantic,"https://imslp.org/wiki/Rosario,_S.56_(Liszt,_Franz)"
Le rossignol,,,,"Liszt, Franz","S.249d ; LW.A66/1 (1st version)
S.250/1 ; LW.A86/1 (2nd version)",IFL 337,,1 piece,"1842 (1st version)
1853 (2nd version)","1842 (1st version)
1853 (2nd version)",,,,Romantic,Romantic,"https://imslp.org/wiki/Le_rossignol,_S.250/1_(Liszt,_Franz)"
Bulakhows Russischer Galop,,,,"Liszt, Franz",S.478 ; LW.A99,IFL 338,,1 piece,1843,1844,,,,Romantic,Romantic,"https://imslp.org/wiki/Russischer_Galop,_S.478_(Liszt,_Franz)"
S'il est un charmant gazon,,,,"Liszt, Franz","S.284/1 ; LW.N25/1 (1st version)
S.284/2 ; LW.N25/2 (2nd version)",IFL 339,,1,"1844 (1st version)
1849–59 (2nd version)","1844 (1st version)
1859 (2nd version)
Librettist
Victor Hugo
(1802-1885), French text
Peter Cornelius
(1824–1874), German translation
Language
German ; French",,,,Romantic,Romantic,"https://imslp.org/wiki/S%27il_est_un_charmant_gazon,_S.284_(Liszt,_Franz)"
Les Sabéennes,,,,"Liszt, Franz",S.408 ; LW.A231,IFL 340,,1 berceuse,1865,"1865, Mainz:
Schott",,,,Romantic,Romantic,"https://imslp.org/wiki/Les_Sab%C3%A9ennes,_S.408_(Liszt,_Franz)"
Salve Polonia,,,,"Liszt, Franz",S.113/2 ; LW.G28/2,IFL 341,,,1884,,,,,Romantic,Romantic,"https://imslp.org/wiki/Salve_Polonia,_S.113/2_(Liszt,_Franz)"
Salve Regina,,,,"Liszt, Franz",S.66 ; LW.J51,IFL 342,,1 hymn,1885,"1936
Librettist
Hermannus Contractus
(1013–1054) [?]
Language
Latin",,,,Romantic,Romantic,"https://imslp.org/wiki/Salve_Regina,_S.66_(Liszt,_Franz)"
Sancta Caecilia,,,,"Liszt, Franz",S.343 ; LW.K7,IFL 343,,1,1880–85,"1936
Librettist
Biblical Text
Language
Latin",,,,Romantic,Romantic,"https://imslp.org/wiki/Sancta_Caecilia,_S.343_(Liszt,_Franz)"
Sancta Dorothea,,,,"Liszt, Franz",S.187 ; LW.A278,IFL 344,E major,1 piece,1877 October,1927,,,2-3 minutes,Romantic,Romantic,"https://imslp.org/wiki/Sancta_Dorothea,_S.187_(Liszt,_Franz)"
Sanct Christoph Legend,,,,"Liszt, Franz",S.47,IFL 345,,,"1881
Language
German",,,,,Romantic,Romantic,"https://imslp.org/wiki/Sankt_Christoph,_S.47_(Liszt,_Franz)"
"Sarabande und Chaconne aus dem Singspiel
Almira
von Händel",,,,"Liszt, Franz",S.181 ; LW.A290,IFL 346,,"2 sections
Sarabande
. Andante–Grandioso trionfante
Chaconne
. Allegretto",1879,"1880 - Leipzig:
Kistner",,"Walter Bache
(1842–1888)",,Romantic,Romantic,"https://imslp.org/wiki/Sarabande_und_Chaconne_aus_dem_Singspiel_Almira,_S.181_(Liszt,_Franz)"
Scherzo,,,,"Liszt, Franz",S.153 ; LW.A9,IFL 347,G minor,1,27 May 1827,1896,,,,Romantic,Romantic,"https://imslp.org/wiki/Scherzo_in_G_minor,_S.153_(Liszt,_Franz)"
Scherzo und Marsch,,,,"Liszt, Franz",S.177 ; LW.A174,IFL 434,,"2 sections
Scherzo
Marsch",1851,"1854 – Braunschweig:
G.M. Meyer",,"Theodor Kullak
(1818–1882)",,Romantic,Romantic,"https://imslp.org/wiki/Scherzo_und_Marsch,_S.177_(Liszt,_Franz)"
Schlaflos! Frage und Antwort,,,,"Liszt, Franz",S.203 ; LW.A322,IFL 348,,1,1883,1927,,,2-3.5 minutes,Romantic,Romantic,"https://imslp.org/wiki/Schlaflos!_Frage_und_Antwort,_S.203_(Liszt,_Franz)"
Schlummerlied mit Arabesken,,,,"Liszt, Franz",S.454 ; LW.A150,IFL 349,F-sharp major,1 piece (Andante),1848,"1848 – Leipzig:
Fr. Kistner",,"Seinem Freunde
Franz Kroll
(1820–1877) gewidmet",,Romantic,Romantic,"https://imslp.org/wiki/Schlummerlied_mit_Arabesken,_S.454_(Liszt,_Franz)"
Schubert's Impromptus [revised and edited by Franz Liszt],,,,"Liszt, Franz","S.565b/1-2 (Schubert: Op.90 Nos.2-3)
editorial: (Schubert: Op.90 and Op.142)",IFL 350,,2 pieces [w/o. 6 editorial works],1868-69,1870,,,,Romantic,Romantic,"https://imslp.org/wiki/Schubert%27s_Impromptus,_S.565b_(Liszt,_Franz)"
"Schwebe, schwebe, blaues Auge",,,,"Liszt, Franz","S.305/1 ; LW.N35/1 (1st version)
S.305/2 ; LW.N35/2 (2nd version)",IFL 351,,1,"1845 (1st version)
1849–60 (2nd version)","1917 (1st version)
1860 (2nd version)
Librettist
Franz von Dingelstedt
(1814-1881)
Language
German",,,,Romantic,Romantic,"https://imslp.org/wiki/Schwebe,_schwebe,_blaues_Auge,_S.305_(Liszt,_Franz)"
Ungarischer Sturmmarsch,,,,"Liszt, Franz",S.232 ; LW.A112/1,IFL 352,E minor,,1844,1844,,Count László Teleki (1811–1861),,Romantic,Romantic,"https://imslp.org/wiki/Seconde_marche_hongroise,_S.232_(Liszt,_Franz)"
Sei still,,,,"Liszt, Franz",S.330 ; LW.N71,IFL 353,,1,?1877–79,"1879
Librettist
""Henriette Nordheim"" (= Henriette Wilhelmine Auguste von Schorn, 1807–1869) =
Henriette von Schorn
Language
German",,,,Romantic,Romantic,"https://imslp.org/wiki/Sei_still,_S.330_(Liszt,_Franz)"
Die Seligkeiten,,,,"Liszt, Franz",S.25 ; LW.J9,IFL 354,,1,1859,"1861
Librettist
Bible (Matthew 5:3–10)
Language
German",,"Carolyne zu Sayn-Wittgenstein
(1819–87)",,Romantic,Romantic,"https://imslp.org/wiki/Die_Seligkeiten,_S.25_(Liszt,_Franz)"
Septem Sacramenta,,,,"Liszt, Franz",S.52 ; LW.J35,IFL 355,,7,"1878–84
First Perf
ormance
.
Weimar, 10 July 1879","1879 (Nos.3 and 7)
1936 (complete)
Librettist
Liturgical text
Language
Latin",,,,Romantic,Romantic,"https://imslp.org/wiki/Septem_sacramenta,_S.52_(Liszt,_Franz)"
Siegesmarsch,,,,"Liszt, Franz",S.233a ; LW.A332,IFL 356,,1 piece,1884,1973,,,,Romantic,Romantic,"https://imslp.org/wiki/Siegesmarsch,_S.233a_(Liszt,_Franz)"
"2 Sketches from 1829, S.692p",,,,"Liszt, Franz",S.692p,IFL 522,"B minor, E flat major",2 sketches,1829,,,,2 minutes,Romantic,Romantic,"https://imslp.org/wiki/2_Sketches_from_1829,_S.692p_(Liszt,_Franz)"
"Slavimo slavno, Slaveni!",,,,"Liszt, Franz",S.33 ; LW.J16,IFL 357,,1,"1863–66
First Perf
ormance
.
Rome, 3 July 1863","1936
Librettist
Orsat Medo Pucić (1821–1882)
Language
Croatian",,,,Romantic,Romantic,"https://imslp.org/wiki/Slavimo_slavno,_Slaveni!,_S.33_(Liszt,_Franz)"
Soirées de Vienne,,,,"Liszt, Franz",S.427 ; LW.A131,IFL 358,,"9 pieces:
Allegretto malinconico (A
♭
major)
Poco Allegro (A
♭
major)
Allegro vivace (E major)
Andantino a capriccio (D
♭
major)
Moderato cantabile con affetto (G
♭
major)
Allegro con strepito (A minor)
Allegro spiritoso (A major)
Allegro con brio (D major)
Preludio a capriccio (A
♭
major)",1846–52,1852,,Simon Löwy,,Romantic,Romantic,"https://imslp.org/wiki/Soir%C3%A9es_de_Vienne,_S.427_(Liszt,_Franz)"
Soirées italiennes,,,,"Liszt, Franz",S.411 ; LW.A47,IFL 359,,6 pieces,1838–39,1840,,Archduchess Elisabeth of Austria,,Romantic,Romantic,"https://imslp.org/wiki/Soir%C3%A9es_italiennes,_S.411_(Liszt,_Franz)"
Soirées musicales de Rossini,,,,"Liszt, Franz",S.424 ; LW.A36,IFL 360,,"12 pieces
La promessa
(Canzonetta) [No.1 in Rossini's original collection]
La regata veneziana
(Notturno) [Rossini's No.9]
L'invito
(Bolero) [Rossini's No.5]
La gita in gondola
(Barcarola) [Rossini's No.7]
Il rimprovero
(Canzonetta) [Rossini's No.2]
La pastorella dell'Alpi
(Tirolese)  [Rossini's No.6]
La partenza
(Canzonetta) [Rossini's No.3]
La pesca
(Notturno) [Rossini's No.10]
La danza
(Tarantella Napoletana) [Rossini's No.8]
La serenata
(Notturno) [Rossini's No.11]
L'orgia
(Arietta) [Rossini's No.4]
Li marinari
(Duetto) [Rossini's No.12 ]",1837,1838,,Countess Julie Samoyloff,,Romantic,Romantic,"https://imslp.org/wiki/Soir%C3%A9es_musicales_de_Rossini,_S.424_(Liszt,_Franz)"
3 sonetti di Petrarca,,,,"Liszt, Franz",S.158,IFL 541,,,,,,,,Romantic,Romantic,"https://imslp.org/wiki/3_Sonetti_del_Petrarca,_S.158_(Liszt,_Franz)"
3 Sonetti del Petrarca,,,,"Liszt, Franz","S.270a ; N.14/1 (1st version)
S.270b ; N.14/2 (2nd version)",IFL 361,,"3 songs:
1st version (S.270a)
Pace non trovo
(Sonetto 104 di Petrarca) /
Fried' ist versagt mir
Benedetto sia il giorno
(Sonetto 47 di Petrarca) /
Sei gesegnet immerdar
I' vidi in terra angelici costumi
(Sonetto 123 di Petrarca) /
So sah ich denn auf Erden Engelsfrieden und Glanz
2nd version (S.270b)
Benedetto sia il giorno
(Sonetto 47 di Petrarca) /
Sei gesegnet immerdar
Pace non trovo
(Sonetto 104 di Petrarca) /
Fried' ist versagt mir
I' vidi in terra angelici costumi
(Sonetto 123 di Petrarca) /
So sah ich denn auf Erden Engelsfrieden und Glanz","1842-46 (1st version)
1864–82 (2nd version)","1846 (1st version)
1883 (2nd version)
Librettist
Francesco Petrarca
(1304-1374), Italian text
Peter Cornelius
(1824–1874), German translation
Language
Italian / German",,,,Romantic,Romantic,"https://imslp.org/wiki/3_Sonetti_del_Petrarca,_S.270_(Liszt,_Franz)"
Spinnerlied aus dem Fliegenden Holländer,,,,"Liszt, Franz",S.440 ; LW.A204,IFL 362,,1 piece,1860,"1862 – Leipzig:
Breitkopf und Härtel",,"Louis Jungmann
(1832-92)",,Romantic,Romantic,"https://imslp.org/wiki/Spinnerlied_aus_dem_Fliegenden_Holl%C3%A4nder,_S.440_(Liszt,_Franz)"
"Stabat Mater, S.172b",,,,"Liszt, Franz",S.172b (formerly S.579/3) ; LW.A142,IFL 363,,,1847,,,,,Romantic,Romantic,"https://imslp.org/wiki/Stabat_Mater,_S.172b_(Liszt,_Franz)"
Die stille Wasserrose,,,,"Liszt, Franz",S.321 ; LW.N59,IFL 364,,1,1860,"1860
Librettist
Emanuel Geibel
(1815–1884)
Language
German",,,,Romantic,Romantic,"https://imslp.org/wiki/Die_stille_Wasserrose,_S.321_(Liszt,_Franz)"
Zwei Stücke aus Tannhäuser und Lohengrin,,,,"Liszt, Franz",S.445 ; LW.A176,IFL 365,,"2 pieces
Einzug der Gäste auf der Wartburg
(Marche du Tannhäuser)
after the March from Act II of
Tannhäuser
Elsas Brautzug zum Münster
after Elsa's bridal procession from Act II of
Lohengrin","1852 (No.1 rev.1874, 1876)",1853,,Hans von Bülow,,Romantic,Romantic,"https://imslp.org/wiki/2_St%C3%BCcke_aus_Tannh%C3%A4user_und_Lohengrin,_S.445_(Liszt,_Franz)"
Szózat und Hymnus,,,,"Liszt, Franz",S.353,IFL 366,,,1872,,,,,Romantic,Romantic,"https://imslp.org/wiki/Sz%C3%B3zat_und_Hymnus,_S.353_(Liszt,_Franz)"
Des Tages laute Stimmen schweigen,,,,"Liszt, Franz",S.337 ; LW.N78,IFL 367,,1,1880,"1905
Librettist
Ferdinand von Saar
(1833–1906)
Language
German",,Princess Marie von Hohenlohe,,Romantic,Romantic,"https://imslp.org/wiki/Des_Tages_laute_Stimmen_schweigen,_S.337_(Liszt,_Franz)"
Tantum ergo,,,,"Liszt, Franz",S.42 ; LW.J27,IFL 368,,1 piece,1869,"1871
Librettist
Thomas Aquinas (1225–1274)
Language
Latin",,"Franz Xaver Witt (1834–1888) (1st version)
Jessie Laussot
(1829–1905) (2nd version)",,Romantic,Romantic,"https://imslp.org/wiki/Tantum_ergo,_S.42_(Liszt,_Franz)"
