,Work Title,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Composer Time Period,Piece Style,Instrumentation,url,Alternative Title,First Publication,Name Translations,Name Aliases,Authorities,Year/Date of Composition,Dedication,Average Duration,Copyright Information,Language,Librettist
381566,March,"Maylath, Henry",,IHM 103,F major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Nancy_Lee_(Maylath,_Henry)",,,,,,,,,,,
481808,Sonata in F major,"Kuhlau, Friedrich",Op.59 No.2,IFK 70,F major,"2 movements:
I. Allegro
II.
Rondo:
Allegro",Romantic,Classical,Piano,"https://imslp.org/wiki/Piano_Sonatina_in_F_major,_Op.59_No.2_(Kuhlau,_Friedrich)",,".
1824 in
3 Sonatas
, Op.59 (No.2)",,,,,,,,,
30495,Vingt pièces nouvelles pour le piano,"Dubois, Théodore",,ITD 100,,"20 pieces:
A l'aube
Air à danser
Interlude
Sonnet
Remember
Histoire bizarre
Duettino
Chanson d'Orient
Fanfare
A la veillée
Choral
Petite valse
Chanson lesbienne
Ronde des Archers
Sorrente
Histoire triste
Menuet
Stella Matutina
Fragment de Ballet
Chant Bachique",Romantic,Romantic,Piano,"https://imslp.org/wiki/20_Pi%C3%A8ces_nouvelles_(Dubois,_Th%C3%A9odore)",,".
1883",,,,,"20 dedicatees -
see below
1. Madame Emile Réty
2. Mademoiselle Jenny Godin
3. Madame
Louise-Aglaé Massart
4. Madame
Clotilde Kleeberg
5. Madame Chauvel
6. Mon ami
Elie Miriam Delaborde
7. Mademoiselle Marguerite Hamman
8. Mademoiselle Louise Rivière
9. Madame Lainné
10. Mon ami
Émile Paladilhe
11. Mon Ami Th. Gouvy (
Louis Théodore Gouvy
)
12. Madame Viguier
13. Mon Ami
Louis-Albert Bourgault-Ducoudray
14. Mademoiselle Mathilde Dehaussy
15. Mon Ami Jules Lefèbvre
16. Mon Ami
Martial Caillebotte
17. Mademoiselle Pauline Teiton
18. Mon Ami
Alexandre Guilmant
19. Mon Ami
Paul Véronge de La Nux
20. Mon Ami
Georges Jean Pfeiffer",,,,
409430,Lulu-galop,"Lamothe, Georges",Op.197,IGL 33,F major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Lulu-galop,_Op.197_(Lamothe,_Georges)",,".
1876 — Schmitt & Cie.",,,,,,,"Publication noted in the
Bibliographie de la France
:
2e série, 65e année, Nº 48, 25 Novembre 1876, p.669, reg.3768.",,
522505,Indiana,"Battmann, Jacques-Louis",Op.239,IJB 147,E-flat major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Indiana,_Op.239_(Battmann,_Jacques-Louis)",Fantaisie-valse,".
1866 ca.",,,,,,,,,
468205,Les diablotines,"Wolff, Édouard",,IEW 9,A-flat major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Les_diablotines_(Wolff,_%C3%89douard)",Polka humoristique,".
1872",,,,,à mon ami Eugène Jouet,,"Publication noted in the
Bibliographie de la France
:
2e série, 62e année, Nº 1, 4 Janvier 1873, p.7, reg.59.",,
381645,6 Little Pieces for beginners,"Maylath, Henry",,IHM 158,,"6 pieces
1. Little Star - Rondo
2. My Darlings - Waltz
3. Children's Frolic - Rondo
4. Little Soldiers to the Front - March
5. Trotty Horse - Polka Mazurka
6. Little Flirt - Waltz",Romantic,Romantic,Piano,"https://imslp.org/wiki/Twinkling_Stars_(Maylath,_Henry)",,,,,,,,,,,
207535,Caprice,"Lange, Gustav",,IGL 61,,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/The_Merry_Goldfinch_(Lange,_Gustav)",Der Lustige Stieglitz,,,,,,Miss Maggie Gregory,,,,
301288,An Old Italian Garden,"Mullen, Alfred Frederic",,IAM 1,,"5 Pieces
By a forgotten well
In Boccaccio's days
A deserted temple
A shepherd's song
In brocade and silk",Romantic,Romantic,Piano,"https://imslp.org/wiki/An_Old_Italian_Garden_(Mullen,_Alfred_Frederic)",,,,,,1914,,,,,
98661,La Gaité,"Smith, Sydney",Op.9,ISS 73,D-flat major,1 (or 2 - introduction and galop),Romantic,Romantic,Piano,"https://imslp.org/wiki/La_Gait%C3%A9,_Op.9_(Smith,_Sydney)",Grand galop brillant,".
1861? by Charles Sheard & Co., London",,,,,,,,,
35400,Monologues,"Rheinberger, Josef Gabriel",Op.162,IJR 89,,12 pieces,Romantic,Romantic,Piano,"https://imslp.org/wiki/12_Monologues,_Op.162_(Rheinberger,_Josef_Gabriel)",Zwölf Stücke f. Org.,".
1890 – Leipzig: Otto Forberg",,,,,,,,,
256799,"Scherzo-valse, Op.5","Widor, Charles-Marie",Op.5,ICW 53,B-flat minor,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Scherzo-valse,_Op.5_(Widor,_Charles-Marie)",,,,,,1868,,,,,
292385,In Normandy,"Mullen, Alfred Frederic",,IAM 27,,"4 Pieces
Villanelle
The wayside Shrine
In the apple orchard
On the Diligence",Romantic,Romantic,Piano,"https://imslp.org/wiki/In_Normandy_(Mullen,_Alfred_Frederic)",Lyric suite,".
1921 – London:
Reeder & Walsh",,,,,,,,,
381540,Morceau Brillant,"Maylath, Henry",,IHM 13,E-flat major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/La_Belle_Vivandiere_(Maylath,_Henry)",March,,,,,,,,,,
381546,Morceau Brillant,"Maylath, Henry",,IHM 84,C major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Little_Birdie%27s_First_Fly!_(Maylath,_Henry)",,,,,,,,,,,
187217,Insouciance,"Maylath, Henry",Op.345,IHM 72,E-flat major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Insouciance,_Op.345_(Maylath,_Henry)",Abandon. Polka de concert,".
1884 – New York:
Edward Schuberth & Co.",,,,,To Miss Lily J. Bryan.,,,,
365939,Oberons Zauberhorn,"Oesten, Theodore",Op.70,ITO 44,D major,1 movement,Romantic,Romantic,Piano,"https://imslp.org/wiki/Oberons_Zauberhorn,_Op.70_(Oesten,_Theodore)","Salon-Fantasie über Lieblings-themen aus Oberon, Oper v. C.M. v. Weber",".
1851 – Magdeburg:
Heinrichshofen's Verlag
(
Hofmeister's
Monatsbericht
(1851), p.83
)",,,,1851 or before,,,,,
497320,Grande fantaisie,"Chavagnat, Edouard",Op.152,IEC 59,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Grande_fantaisie,_Op.152_(Chavagnat,_Edouard)",,,,,,,Madame Dadant-Galliand,,,,
516982,Trois petites fantaisies sur les romances favorites d'Étienne Arnaud et Prosper Guyon,"Battmann, Jacques-Louis",Op.69,IJB 165,see section listing,"3 fantasias:
Les rubans de Mariette.
Motif de P. Guyon
(G major)
Frère et sœur.
Motif de E. Arnaud
(C major)
Berthe la rieuse.
Motif de P. Guyon
(G major)",Romantic,Romantic,Piano,"https://imslp.org/wiki/3_Petites_fantaisies,_Op.69_(Battmann,_Jacques-Louis)",Valses-polkas,".
1856",,,,,"1. à Madame Laroche
2. à Mademoiselle Scriber
3. à Madame Méré",,"Publication noted in the
Bibliographie de la France
:
45
e
année, Nº 9, 1 Mars 1856, p.239, reg.730.",,
54651,Grande Fantaisie on Weber's opera 'Preciosa',"Smith, Sydney",Op.93,ISS 82,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Grande_Fantaisie_on_Weber%27s_%27Preciosa%27,_Op.93_(Smith,_Sydney)",,".
1872",,,,,,,,,
402951,Mon p'tit papa,"Battmann, Jacques-Louis",,IJB 13,C major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Mon_p%27tit_papa_(Battmann,_Jacques-Louis)",Fantaisie mignonne,,,,,,,,,,
54110,The Cloister,"Smith, Sydney",Op.75,ISS 34,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/The_Cloister,_Op.75_(Smith,_Sydney)",Meditation,,,,,,,,,,
522168,Lia,"Battmann, Jacques-Louis",Op.31,IJB 108,E-flat major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Lia,_Op.31_(Battmann,_Jacques-Louis)",Grande valse,".
1853 ca.",,,,,à Mademoiselle Du Taillis,,,,
381627,The Irish Regiment,"Maylath, Henry",,IHM 73,F major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/The_Irish_Regiment_(Maylath,_Henry)",March,,,,,,To the gallant 'Sixty Ninth',,,,
32022,La Cascade de Rubis Op.22,"Smith, Sydney",Op.22,ISS 24,,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/La_Cascade_de_Rubis,_Op.22_(Smith,_Sydney)",Morceau élégant,,,,,,A Edward Lawrance Esq.,,,,
380865,Morceau Grâcieux,"Maylath, Henry",,IHM 3,C major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Alpine_Mazurka_(Maylath,_Henry)",,,,,,,,,,,
409040,Or et azur,"Lamothe, Georges",Op.139,IGL 43,C major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Or_et_azur,_Op.139_(Lamothe,_Georges)",Valse,".
1874",,,,,à Madame Blouet-Bastin,,"Publication noted in the
Bibliographie de la France
:
2e série, 63e année, Nº 6, 7 Février 1874, p.66, reg.433.",,
516771,Les petits chasseurs,"Battmann, Jacques-Louis",,IJB 52,C major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Les_petits_chasseurs_(Battmann,_Jacques-Louis)",Quadrille-fanfare,".
1861",,,,,à Mr. Abel Lamboley,,"Publication noted in the
Bibliographie de la France
:
2e série, 50e année, Nº 27, 6 Juillet 1861, p.329, reg.1524.",,
303929,4 Sketches for Pianoforte,"Mullen, Alfred Frederic",,IAM 22,,"4 pieces
In the still woodland
The Little Shepherdess
By the lych-gate
On the broad highway",Romantic,Romantic,Piano,"https://imslp.org/wiki/Highways_%26_Byways_(Mullen,_Alfred_Frederic)",,".
1919",,,,,,,,,
281402,Meditationen,"Rheinberger, Josef Gabriel",Op.167,IJR 78,,"12 pieces
Entrata.
Agitato.
Canzonetta.
Andantino.
Preludio.
Aria.
Intermezzo.
Alla marcia.
Tema variato.
Passacaglia.
Fugato.
Finale.",Romantic,Romantic,Piano,"https://imslp.org/wiki/Meditationen,_Op.167_(Rheinberger,_Josef_Gabriel)",Zwölf Orgelvorträge,".
1892 – Leipzig:
Robert Forberg",,,,1891 November-December,,50 minutes,,,
102942,Saltarello,"Maylath, Henry",Op.76,IHM 136,E minor,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Saltarello,_Op.76_(Maylath,_Henry)",,".
1875 – New York: Edward Schuberth (Plate 114)",,,,,"Ernst Eberhard, Esq. (Director of the Grand Conservatory of Music of the City of New York)",,,,
04772,2 Petites Pièces,"Dubois, Théodore",,ITD 56,,"2 pieces
1. Petite pastorale Champenoise
2. Prélude",Romantic,Romantic,Piano,"https://imslp.org/wiki/2_Petites_pi%C3%A8ces_pour_grand_orgue_(Dubois,_Th%C3%A9odore)",Deux Petites Pièces pour Grand Orgue ou Harmonium,".
1910",,,,,"à mon ami
Henri Dallier",,,,
522419,Brises du lac,"Battmann, Jacques-Louis",,IJB 122,G major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Brises_du_lac_(Battmann,_Jacques-Louis)",Valse,".
1867",,,,,,,"Publication noted in the
Bibliographie de la France
:
56e année, 2e série, Nº 47, 23 Novembre 1867, p.542, reg.2851.",,
184831,Annie Laurie,"Wallace, William Vincent",,IWW 5,F major,"1 (Introduction, theme and 2 variations)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Annie_Laurie_(Wallace,_William_Vincent)","Variations on the Favorite Scotch Ballad ""Annie Laurie""",".
1852 – New York:
William Hall & Son
(Plate 2007)",,,,,,2 minutes 50 seconds,,,
54717,Retrospect,"Smith, Sydney",Op.160,ISS 112,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Retrospect,_Op.160_(Smith,_Sydney)",Melody for Piano,".
1878",,,,,Mr. Harold Thomas,,,,
381541,Fantaisie Mazurka,"Maylath, Henry",,IHM 14,E-flat major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/La_Belle_Zingara_(Maylath,_Henry)",,,,,,,,,,,
249657,Fantasie de salon sur l'opera Il Don Giovani,"Wallace, William Vincent",,IWW 17,,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Fantasie_de_salon_sur_%27Don_Giovani%27_(Wallace,_William_Vincent)",Souvenir de Mozart,".
1854 – New York:
William Hall & Son",,,,,,,,,
380878,Dialogue,"Maylath, Henry",,IHM 33,D major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Darling%27s_Request_(Maylath,_Henry)",,,,,,,,,,,
103024,Nocturne No.3,"Maylath, Henry",Op.173,IHM 109,E-flat major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Nocturne_No.3,_Op.173_(Maylath,_Henry)",,".
1883 - New York: Ernst Eberhard (Plate E.E. 1062).",,,,,,,,,
321765,A Tramp Abroad,"Mullen, Alfred Frederic",,IAM 52,,"12 Pieces in 2 suites
Suite No.1
Norway
Sweden
Italy
Spain
Hungary
Poland
Suite No.2
Russia
Switzerland
Germany
France
Austria
Portugal",Romantic,Romantic,Piano,"https://imslp.org/wiki/A_Tramp_Abroad_(Mullen,_Alfred_Frederic)",Characteristic Dances,".
1891",,,,,Arthur Wood,,,,
521449,Tic e tic e toc,"Battmann, Jacques-Louis",Op.248,IJB 186,C major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Tic_e_tic_e_toc,_Op.248_(Battmann,_Jacques-Louis)",Petite fantaisie italienne facile et sans octaves,".
1867",,,,,à Mademoiselle Mélanie Jobard,,"Publication noted in the
Bibliographie de la France
:
56e année, 2e série, Nº 26, 29 Juin 1867, p.294, reg.1544.",,
41424,Choral-Studien,"Merkel, Gustav Adolf",Op.116,IGM 11,,10 studies,Romantic,Romantic,Piano,"https://imslp.org/wiki/Choral-studien,_Op.116_(Merkel,_Gustav_Adolf)","Zehn Figurationen über den Choral ""Wer nur den lieben Gott lässt walten""",".
1878 – Leipzig:
J. Rieter-Biedermann",,,,,"Herrn Orgelvirtuos August Fischer (probably
Carl August Fischer
)",,,,
79452,"L'Automne-Valse, Op.170","Albéniz, Isaac",Op.170,IIA 2,G minor,5,Romantic,Romantic,Piano,"https://imslp.org/wiki/L%27Automne-Valse,_Op.170_(Alb%C3%A9niz,_Isaac)",,".
1890s",,,,,,,,,
520439,12 Fantaisies gracieuses,"Battmann, Jacques-Louis",Op.276,IJB 137,,12 fantasias,Romantic,Romantic,Piano,"https://imslp.org/wiki/12_Fantaisies_gracieuses,_Op.276_(Battmann,_Jacques-Louis)",Douze fantaisies gracieuses sur des mélodies de l'album de Paul Henrion,".
1868 (Nos.1-6)
1870 (Nos.7-12)",,,,,,,"Publication noted in the
Bibliographie de la France
:
57e année, 2e série, Nº 8, 22 Février 1868, p.90, reg.491. (Nos.1-6)
59e année, 2e série, Nº 18, 30 Avril 1870, p.210, reg.1349 (Nos.7-12)",,
36244,Ballade de 'Rigoletto',"Wallace, William Vincent",Op.82,IWW 6,B major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Ballade_de_%27Rigoletto%27,_Op.82_(Wallace,_William_Vincent)",Rigoletto-Ballade,,,,,,,,,,
437998,10 Waltzes,"Kuhlau, Friedrich",WoO 211,IFK 114,,"10 pieces
(F major)
(E-flat major)
(B-flat major)
(D major)
(B-flat major)
(C major)
(A major)
(E-flat  major)
(B-flat  major)
(E-flat  major)",Romantic,Classical,Piano,"https://imslp.org/wiki/10_Waltzes,_WoO_211_(Kuhlau,_Friedrich)",,".
1812-13",,,,,,,,,
381649,Violetta,"Maylath, Henry",,IHM 162,F major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Violetta_(Maylath,_Henry)",Polka Mazurka,,,,,,,,,,
01162,Piano Sonata No.4 in A major,"Albéniz, Isaac",Op.72,IIA 31,A major,"4 movements:
Allegro
Scherzino. Allegro in D
Minuetto. Andantino in G
Rondó. Allegro",Romantic,Romantic,Piano,"https://imslp.org/wiki/Piano_Sonata_No.4,_Op.72_(Alb%C3%A9niz,_Isaac)","Cuarta Sonata, Ob.72",".
1887 ca.",,,,1887,Sr. Conde de Morphi,,,,
41430,"Adagio im freien Styl, Op. 35","Merkel, Gustav Adolf",Op.35,IGM 2,E major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Adagio_im_freien_Styl,_Op.35_(Merkel,_Gustav_Adolf)",,,,,,,"August Gottfried Ritter
(1811-1885)",,,,
77643,Cantilène nuptiale,"Dubois, Théodore",,ITD 18,"A
♭
Major",1 piece,Romantic,Romantic,Piano,"https://imslp.org/wiki/Cantil%C3%A8ne_nuptiale_(Dubois,_Th%C3%A9odore)",Nuptial Song,,,,,ca.1900,To Auguste Bazille,,,,
95910,"Fantaisie mauresque, Op.117","Chavagnat, Edouard",,IEC 18,D minor,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Fantaisie_mauresque,_Op.117_(Chavagnat,_Edouard)",,,,,,,Céline Blot,,,,
409424,Le vieux Paris,"Lamothe, Georges",Op.193,IGL 70,F major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Le_vieux_Paris,_Op.193_(Lamothe,_Georges)",Ronde-nocturne,".
1876",,,,,"Émile Bourgeois
(1849-1922)",,"Publication noted in the
Bibliographie de la France
:
2e série, 65e année, Nº 13, 25 Mars 1876, p.168, reg.1030.",,
32787,24 Études en forme de Preludes,"Wolff, Édouard",Op.20,IEW 13,,24,Romantic,Romantic,Piano,"https://imslp.org/wiki/24_%C3%89tudes_en_forme_de_pr%C3%A9ludes,_Op.20_(Wolff,_%C3%89douard)",Vingt-quatre études en forme de préludes dans tous les tons majeurs et mineurs,".
1839 – Paris: Mme. A. Guérin",,,,,Albert Franck,,,,
276436,Caprice,"Sauer, Emil von",,IES 23,E major,,Romantic,Early 20th century,Piano,"https://imslp.org/wiki/La_Retour_(Sauer,_Emil_von)",,,,,,,,,,,
516340,Modeste,"Battmann, Jacques-Louis",,IJB 47,F major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Modeste_(Battmann,_Jacques-Louis)",Polka-mazurka,".
1855",,,,,à Mademoiselle Joséphine Laguesse,,"Publication noted in the
Bibliographie de la France
:
45
e
année, Nº 3, 19 Janvier 1856, p.82, reg.269.",,
381539,Morceau Brillante,"Maylath, Henry",,IHM 11,B-flat major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/La_Belle_Coquette_(Maylath,_Henry)",,,,,,,,,,,
206472,[5 pièces],"Widor, Charles-Marie",Op.71,ICW 66,,5,Romantic,Romantic,Piano,"https://imslp.org/wiki/Valses,_Op.71_(Widor,_Charles-Marie)",,,,,,,,,,,
380879,March,"Maylath, Henry",,IHM 34,E-flat major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Defil%C3%A9_March_(Maylath,_Henry)",,,,,,,,,,,
253603,Rosebud Polka,"Wallace, William Vincent",,IWW 60,G major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Rosebud_Polka_(Wallace,_William_Vincent)",,".
1852 – New York:
William Hall & Son",,,,,Miss Elsie A. Hall,,,,
521433,Petite marguerite,"Battmann, Jacques-Louis",,IJB 91,C major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Petite_marguerite_(Battmann,_Jacques-Louis)",Valse facile et sans octaves,".
1872",,,,,à Monsieur Georges Ravayre Raver,,"Publication noted in the
Bibliographie de la France
:
61e année, 2e série, Nº 33, 17 Août 1872, p.381, reg.2162.",,
380797,Polka Mazurka,"Maylath, Henry",Op.24,IHM 5,"E
♭
major",1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Autumn_Leaves,_Op.24_(Maylath,_Henry)",,,,,,,To Mr. C.J. Whitney,,,,
99355,"Memories of Home, Op.60","Smith, Sydney",Op.60,ISS 98,E-flat major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Memories_of_Home,_Op.60_(Smith,_Sydney)",Souvenirs d’Enfance. A romance. Andante for the pianoforte.,".
1867",,,,,,,,,
111983,Mendelssohn's Midsummer Night's Dream,"Smith, Sydney",Op.76,ISS 100,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Mendelssohn%27s_Midsummer_Night%27s_Dream,_Op.76_(Smith,_Sydney)",Paraphrase de concert,".
1869",,,,,,,,,
516589,Six fantaisies originales,"Battmann, Jacques-Louis",Op.309,IJB 8,see section listing,"6 fantasias:
Ma charmante —
Fantaisie-valse
(G major)
Avant le combat —
Fantaisie-marche
(G major)
Les échos de Séville —
Fantaisie-boléro
(C major)
Sur la Méditerranée —
Fantaisie-barcarolle
(F major)
Le petit clairon —
Fantaisie pas-redoublé
(C major)
Souvenir —
Fantaisie-polonaise
(D minor)",Romantic,Romantic,Piano,"https://imslp.org/wiki/6_Fantaisies_originales,_Op.309_(Battmann,_Jacques-Louis)",,".
1870",,,,,"à Monsieur Ferdinand Herzog, professeur de piano",,,,
54709,Grande Fantaisie on Bellini's opera 'Beatrice di Tenda',"Smith, Sydney",Op.147,ISS 81,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Grande_Fantaisie_on_Bellini%27s_opera_%27Beatrice_di_Tenda%27,_Op.147_(Smith,_Sydney)",,".
1881",,,,,,,,,
380851,Rondo Brillant,"Maylath, Henry",Op.170,IHM 114,C major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/On_the_Playground,_Op.170_(Maylath,_Henry)",,,,,,,,,,,
301294,Norwegian Dances,"Mullen, Alfred Frederic",,IAM 31,,6,Romantic,Romantic,Piano,"https://imslp.org/wiki/Norwegian_Dances_(Mullen,_Alfred_Frederic)",Suites Nos.1-6,".
1890",,,,,,,,,
519634,Fragment de 'Il furioso',"Battmann, Jacques-Louis",Op.190,IJB 218,A minor,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Fragment_de_%27Il_furioso%27,_Op.190_(Battmann,_Jacques-Louis)",Il furioso de Donizetti,".
1864",,,,,,,"Publication noted in the
Bibliographie de la France
:
53e année, 2e série, Nº 30, 23 Juillet 1864, p.354, reg.1763.",,
522430,La belle glaneuse,"Battmann, Jacques-Louis",,IJB 121,C major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/La_belle_glaneuse_(Battmann,_Jacques-Louis)",Valse sur des motifs de A. Lagard,".
1867",,,,,,,,,
84791,Deux morceaux caractéristiques,"Albéniz, Isaac",T.94 ; Op.164,IIA 11,,"2 pieces:
Jota aragonesa (Allegro, F major, 251 bars)
Tango",Romantic,Romantic,Piano,"https://imslp.org/wiki/2_Danzas_espag%C3%B1oles,_Op.164_(Alb%C3%A9niz,_Isaac)",Two Spanish National Songs,".
1889 - London: Stanley, Lucas, Weber & Co.",,,,1889 ca.,"see below
Miss Maggie Anderson
Miss Nina de Lara",,,,
381556,Redowa,"Maylath, Henry",,IHM 97,F major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Merry_Thoughts_(Maylath,_Henry)",,,,,,,,,,,
32791,4 Rapsodies en forme de walses,"Wolff, Édouard",Op.29,IEW 28,,"4 rhapsodies
Vivace presto (D major)
Presto (A
♭
major)",Romantic,Romantic,Piano,"https://imslp.org/wiki/4_Rapsodies,_Op.29_(Wolff,_%C3%89douard)",,,,,,,Madame Fanny Mathias,,,,
380854,A Summer Idyl,"Maylath, Henry",Op.202,IHM 70,A-flat major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/In_a_Swing,_Op.202_(Maylath,_Henry)",,,,,,,To my daughter Emily,,,,
101908,Grande valse de concert,"Wallace, William Vincent",Op.27,IWW 40,F major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Grande_valse_de_concert,_Op.27_(Wallace,_William_Vincent)",,".
1845 – New York: Firth and Hall",,,,,"Madame Dulcken, pianiste de S. M. la Reine Victoria",11 minutes,,,
74604,12 Favorite Melodies,"Maylath, Henry",Op.57,IHM 52,,12,Romantic,Romantic,Piano,"https://imslp.org/wiki/12_Favorite_Melodies,_Op.57_(Maylath,_Henry)",The little American; Der kleine Amerikaner,".
1870",,,,,,,,,
35509,"Lily of the Valley, Op.14","Smith, Sydney",Op. 14,ISS 92,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Lily_of_the_Valley,_Op.14_(Smith,_Sydney)","Fleurs de Mai, Mazurka",,,,,,Miss Emma Langhorne zugeeignet,,,,
367422,Serenade in A major,"Merkel, Gustav Adolf",,IGM 47,A major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Serenade_in_A_major_(Merkel,_Gustav_Adolf)",,,,,,,,,,,
36680,La Harpe eolienne,"Smith, Sydney",Op.11,ISS 86,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/La_Harpe_%C3%A9olienne,_Op.11_(Smith,_Sydney)",Morceau de salon,,,,,,"A Mademoiselle Diana Ashton (Ashdown score) / to
Jean Henri Ravina
(Schott edition).",,,,
481807,Sonatina in A major,"Kuhlau, Friedrich",Op.59 No.1,IFK 61,A major,"2 movements:
I. Allegro
II.
Rondo:
Allegro scherzando",Romantic,Classical,Piano,"https://imslp.org/wiki/Piano_Sonatina_in_A_major,_Op.59_No.1_(Kuhlau,_Friedrich)",,".
1824 in
3 Sonatas
, Op.59 (No.1)",,,,,,,,,
381641,Twilight,"Maylath, Henry",,IHM 157,D-flat major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Twilight_(Maylath,_Henry)",Nocturne,,,,,,To Miss Lizzie Brown,,,,
251156,L'heliotrope valse,"Wallace, William Vincent",,IWW 42,,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/L%27heliotrope_valse_(Wallace,_William_Vincent)",Fleurs musicales No.2,".
1853 – New York:
William Hall & Son",,,,,,,,,
381563,Valse Elégante,"Maylath, Henry",,IHM 99,C major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Miranda_(Maylath,_Henry)",,,,,,,,,,,
409036,Brise des nuits,"Lamothe, Georges",Op.91,IGL 6,F major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Brise_des_nuits,_Op.91_(Lamothe,_Georges)",Suite de valses,".
1870",,,,,Hommage à Madame Desmaret,,"Publication noted in the
Bibliographie de la France
:
2e série, 59e année, Nº 16, 16 Avril 1870, p.182, reg.1024.",,
380883,Waltz,"Maylath, Henry",,IHM 39,C major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Echo_Waltz_(Maylath,_Henry)",,,,,,,To my friend Gus Williams,,,,
380890,March,"Maylath, Henry",,IHM 47,F major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Enchantress_(Maylath,_Henry)",,,,,,,,,,,
13827,Célèbre sérénade Espagnole,"Albéniz, Isaac",T.98 ; Op.181 ; Op.47 No.4,IIA 8,,"1 serenade
Allegretto ma non troppo (116 bars)",Romantic,Romantic,Piano,"https://imslp.org/wiki/C%C3%A9l%C3%A8bre_s%C3%A9r%C3%A9nade_Espagnole,_Op.181_(Alb%C3%A9niz,_Isaac)",,".
1890 - Barcelona: J.B. Pujol & Cia., Plate P. 2 Ca.",,,,1889 ca.,,,,,
23268,Organ Sonata No.17,"Rheinberger, Josef Gabriel",Op.181,IJR 118,B major,3,Romantic,Romantic,Piano,"https://imslp.org/wiki/Organ_Sonata_No.17,_Op.181_(Rheinberger,_Josef_Gabriel)",'Fantaisie-Sonate',".
1895 – Leipzig:
Robert Forberg",,,,1894,,,,,
380875,March,"Maylath, Henry",,IHM 25,G major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Centennial_March_(Maylath,_Henry)",,,,,,,,,,,
330112,"Rapsodia asturiana No.4, Op.29","González del Valle, Anselmo",Op.29,IAG 14,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Rapsodia_asturiana_No.4,_Op.29_(Gonz%C3%A1lez_del_Valle,_Anselmo)",,,,,,,,,,,
